individual,slim_days1,x1,y1,slim_days2,x2,y2
F3_KNP,194,31.85632274290125,35.508715583721546,195,36.43504415327223,32.585614327215616
F4_KNP,194,31.81739434539826,35.4883262014975,195,36.43319004931107,32.676439959331866
F8_KNP,162,18.633644095169398,55.355034892748485,274,23.445194026525353,43.974031795662555
M10_KNP,286,18.25177542374493,24.82836707697953,287,17.439468787691553,24.678412203049028
M11_KNP,119,7.996923281557915,17.933036187880788,156,12.449590091854956,30.89329248859901
M12_KNP,57,11.042606582107933,23.256528578353304,58,11.383697201028337,24.240781455264983
M14_KNP,174,29.34080751242266,44.270605204308374,195,36.48880204574402,32.604150200010665
M16_KNP,119,8.189711165111296,18.238877477316617,136,5.668633622749625,14.82272291642533
M17_KNP,3,14.620312056690931,41.2307280715301,5,16.511119935402178,42.4040464728203
M17_KNP,3,14.620312056690931,41.2307280715301,7,16.563023723912416,41.67188099881831
M17_KNP,3,14.620312056690931,41.2307280715301,136,5.670487726710783,14.8116014149913
M17_KNP,5,16.511119935402178,42.4040464728203,7,16.563023723912416,41.67188099881831
M17_KNP,5,16.511119935402178,42.4040464728203,136,5.670487726710783,14.8116014149913
M17_KNP,7,16.563023723912416,41.67188099881831,136,5.670487726710783,14.8116014149913
M18_KNP,119,17.8154058835765,54.9185159614628,162,18.418611413042996,53.190049354400614
M20_KNP,1,14.332982666961987,44.30396970861047,161,17.456523874757604,47.91660405402627
M26_KNP,119,7.970970275062577,17.894110932861683,241,14.310737868388964,25.779255449589115
M31_KNP,3,14.618457952729774,41.21960657009607,7,16.32760034717415,42.083376551877414
M31_KNP,3,14.618457952729774,41.21960657009607,8,17.165487389346758,42.9934860488239
M31_KNP,3,14.618457952729774,41.21960657009607,112,16.540778925339396,41.501351347234845
M31_KNP,7,16.32760034717415,42.083376551877414,8,17.165487389346758,42.9934860488239
M31_KNP,7,16.32760034717415,42.083376551877414,112,16.540778925339396,41.501351347234845
M31_KNP,8,17.165487389346758,42.9934860488239,112,16.540778925339396,41.501351347234845
M32_KNP,8,16.596390921772347,42.52452947916562,132,37.243272205507225,29.52534781221329
M36_KNP,136,5.865129714224927,14.681850639070959,272,23.34286795308953,43.77606907013682
M3_KNP,136,5.97079250744698,14.624389511256796,161,21.247407927505847,4.694742351311813
M3_KNP,136,5.97079250744698,14.624389511256796,162,21.60147060071384,8.236940558050442
M3_KNP,136,5.97079250744698,14.624389511256796,163,21.57551870645852,5.393543321011708
M3_KNP,136,5.97079250744698,14.624389511256796,206,21.65708259714679,12.379699842226696
M3_KNP,161,21.247407927505847,4.694742351311813,162,21.60147060071384,8.236940558050442
M3_KNP,161,21.247407927505847,4.694742351311813,163,21.57551870645852,5.393543321011708
M3_KNP,161,21.247407927505847,4.694742351311813,206,21.65708259714679,12.379699842226696
M3_KNP,162,21.60147060071384,8.236940558050442,163,21.57551870645852,5.393543321011708
M3_KNP,162,21.60147060071384,8.236940558050442,206,21.65708259714679,12.379699842226696
M3_KNP,163,21.57551870645852,5.393543321011708,206,21.65708259714679,12.379699842226696
M4_KNP,161,21.34009421748023,4.646549104287672,162,21.69601099464938,8.057142914461949
M4_KNP,161,21.34009421748023,4.646549104287672,163,21.55141980392434,5.425054204669788
M4_KNP,162,21.69601099464938,8.057142914461949,163,21.55141980392434,5.425054204669788
M59_KNP,193,33.346724247296905,33.067546018951916,285,24.810282794880017,49.460639132712465
M64_KNP,3,14.659240454193522,41.24370319360814,175,28.384281173780323,44.237240700006275
M6_KNP,62,14.347813274170418,31.829352229701552,119,8.430696853733036,18.17770921942945
M9_KNP,4,17.378667079752024,41.212192309950055,8,16.713176114280913,42.61906224135488
M9_KNP,4,17.378667079752024,41.212192309950055,152,20.174096396354948,29.2714068998746
M9_KNP,4,17.378667079752024,41.212192309950055,155,20.157412797424985,28.73201408032414
M9_KNP,8,16.713176114280913,42.61906224135488,152,20.174096396354948,29.2714068998746
M9_KNP,8,16.713176114280913,42.61906224135488,155,20.157412797424985,28.73201408032414
M9_KNP,152,20.174096396354948,29.2714068998746,155,20.157412797424985,28.73201408032414
