"Age","F5","M5","F","M"
0,0.5,0.5,0.870550563296124,0.870550563296124
1,0.5,0.5,0.870550563296124,0.870550563296124
2,0.5,0.5,0.870550563296124,0.870550563296124
3,0.5,0.5,0.870550563296124,0.870550563296124
4,0.5,0.5,0.870550563296124,0.870550563296124
5,0.887,0.887,0.976303225130367,0.976303225130367
6,0.887,0.887,0.976303225130367,0.976303225130367
7,0.887,0.887,0.976303225130367,0.976303225130367
8,0.887,0.887,0.976303225130367,0.976303225130367
9,0.887,0.887,0.976303225130367,0.976303225130367
10,0.884,0.884,0.97564192181948,0.97564192181948
11,0.884,0.884,0.97564192181948,0.97564192181948
12,0.884,0.884,0.97564192181948,0.97564192181948
13,0.884,0.884,0.97564192181948,0.97564192181948
14,0.884,0.884,0.97564192181948,0.97564192181948
15,0.898,0.898,0.978712797970425,0.978712797970425
16,0.898,0.898,0.978712797970425,0.978712797970425
17,0.898,0.898,0.978712797970425,0.978712797970425
18,0.898,0.898,0.978712797970425,0.978712797970425
19,0.898,0.898,0.978712797970425,0.978712797970425
20,0.905,0.923,0.980233895363171,0.984102511604862
21,0.905,0.923,0.980233895363171,0.984102511604862
22,0.905,0.923,0.980233895363171,0.984102511604862
23,0.905,0.923,0.980233895363171,0.984102511604862
24,0.905,0.923,0.980233895363171,0.984102511604862
25,0.883,0.694,0.975421088405763,0.929548156900168
26,0.883,0.694,0.975421088405763,0.929548156900168
27,0.883,0.694,0.975421088405763,0.929548156900168
28,0.883,0.694,0.975421088405763,0.929548156900168
29,0.883,0.694,0.975421088405763,0.929548156900168
30,0.881,0.674,0.974978820670757,0.924127681344174
31,0.881,0.674,0.974978820670757,0.924127681344174
32,0.881,0.674,0.974978820670757,0.924127681344174
33,0.881,0.674,0.974978820670757,0.924127681344174
34,0.881,0.674,0.974978820670757,0.924127681344174
35,0.875,0.695,0.973647180615168,0.929815883948295
36,0.875,0.695,0.973647180615168,0.929815883948295
37,0.875,0.695,0.973647180615168,0.929815883948295
38,0.875,0.695,0.973647180615168,0.929815883948295
39,0.875,0.695,0.973647180615168,0.929815883948295
40,0.857,0.622,0.969607942598404,0.909406548015167
41,0.857,0.622,0.969607942598404,0.909406548015167
42,0.857,0.622,0.969607942598404,0.909406548015167
43,0.857,0.622,0.969607942598404,0.909406548015167
44,0.857,0.622,0.969607942598404,0.909406548015167
45,0.625,0.118,0.91028210151304,0.652193402850114
46,0.625,0.118,0.91028210151304,0.652193402850114
47,0.625,0.118,0.91028210151304,0.652193402850114
48,0.625,0.118,0.91028210151304,0.652193402850114
49,0.625,0.118,0.91028210151304,0.652193402850114
50,0.4,0.333,0.832553207401873,0.802580949189995
51,0.4,0.333,0.832553207401873,0.802580949189995
52,0.4,0.333,0.832553207401873,0.802580949189995
53,0.4,0.333,0.832553207401873,0.802580949189995
54,0.4,0.333,0.832553207401873,0.802580949189995
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
